Parameter,Type,DOF,MaxEnergy,MinEnergy,Range,RelChange,Slope,ImpactScore
m_0,m,0,183856.7299126591,72568.6882802455,111288.0416324136,0.9701768200292684,-8818610.310240231,8555611.307866188
m_0,m,2,16498.539598905725,1160.9291255399758,15337.610473365748,2.7090149471503597,-1131195.8012909098,3064426.333850803
m_0,m,1,8687.118742567713,679.4278889449027,8007.69085362281,2.6277396699745603,-591774.9752643394,1555030.5782003186
m_0,m,7,120276.01716432034,112043.24241754129,8232.774746779047,0.0715705062615915,-642879.0368102121,46011.1781294712
m_0,m,3,66042.27788714042,62381.68115599321,3660.596731147205,0.05655095721840181,285729.17836441647,16158.258541735215
m_0,m,4,94685.91421465208,90478.25692594098,4207.657288711096,0.04515231015227019,327969.8280735663,14808.595397764397
m_0,m,8,370.8199201371922,230.0027731418121,140.81714699538009,0.45072684374611943,11408.23394582854,5141.997279120636
m_0,m,5,7601.309081372885,7320.590170241757,280.71891113112815,0.03741967155030554,21857.198376390654,817.8891842544098
m_0,m,6,88482.03551122142,87722.70239760325,759.333113618166,0.008605532282973498,58083.66640168023,499.84086633312234
m_1,m,1,2839.8016959143865,986.7394637634495,1853.062232150937,0.9630814353493815,4690976.956856462,4517792.820800195
m_1,m,0,106989.34472867502,102364.79060904833,4624.554119626686,0.044187689281629694,-11707209.440526387,517314.5331129418
m_1,m,2,3583.9400544334376,3431.589569529099,152.35048490433837,0.043440093698179805,-385682.2912897953,16754.074871357385
m_1,m,4,93780.47063367121,93472.29244784654,308.1781858246686,0.003291531428952207,780168.1063830758,2567.947842026023
m_1,m,3,65219.54594463074,64994.51802274332,225.02792188742023,0.0034562304013461007,569669.8145616722,1968.910131817247
m_1,m,6,88456.08852216347,88211.6418383899,244.4466837735672,0.002767271955532007,618825.9578841197,1712.4597186079552
m_1,m,7,114306.25163948497,114120.19796053508,186.0536789498874,0.0016289887592958725,470993.1938260098,767.2426184474322
m_1,m,5,7543.465873521529,7519.511788696198,23.954084825330938,0.003180484027638782,60640.883821936644,192.8673624175685
m_1,m,8,323.3417093036551,320.11177204752346,3.2299372561316204,0.010039142960320699,8176.94147799048,82.08948447572246
m_2,m,2,5060.672008140224,1823.4130461391146,3237.258962001109,0.9307994949124884,4086464.1419849433,3803678.7593375803
m_2,m,0,109147.59824488832,100390.07450665798,8757.523738230331,0.0836456874552183,-11055767.194469767,924767.2473262738
m_2,m,1,2011.04186452312,1858.627345316305,152.41451920681493,0.0788209327665924,-192417.05564629583,15166.491806242351
m_2,m,4,93945.92227518483,93293.68061808613,652.241657098697,0.006966557221882615,823426.6614297323,5736.448954873992
m_2,m,3,65338.856441971235,64865.834698070306,473.0217439009284,0.007265429172060631,597171.5572204011,4338.707652553977
m_2,m,6,88593.8129811903,88062.47606461006,531.3369165802433,0.006015201524051511,670780.369307833,4034.8790997643127
m_2,m,7,114432.78994794977,113981.70210013956,451.0878478102095,0.003949581278338715,569441.9584762095,2249.057298298169
m_2,m,5,7556.443229226601,7505.493296174363,50.94993305223761,0.006765043495442478,64321.899502366054,435.14044784298625
m_2,m,8,324.77977592563406,318.59965277318673,6.180123152447322,0.019209758069840613,7802.784496294234,149.88960244491537
m_3,m,3,82963.03126874566,38712.6749297388,44250.35633900686,0.699994631456761,43156514.96870592,30209328.790477492
m_3,m,7,140487.98574071075,94323.49234575818,46164.49339495257,0.39924458336812024,-45100339.26703883,18006066.16042979
m_3,m,6,106395.56645975441,74246.61991852468,32148.94654122973,0.3603473480586166,-31432532.66913361,11326629.790088126
m_3,m,4,111680.63561036934,79334.12326390421,32346.512346465126,0.34242726547691454,-31637558.609929558,10833562.681163792
m_3,m,5,9002.333698395929,6370.883529740631,2631.4501686552976,0.34622408665735177,-2573567.0312559926,891030.8948480783
m_3,m,0,105901.39995618846,103051.13093095747,2850.269025230984,0.027257564878697998,2786456.459787073,75952.01773431328
m_3,m,2,3727.6330756976304,3253.0761951516265,474.55688054600387,0.13561075866797884,464857.2185632443,63039.640081648016
m_3,m,1,2037.5838006091485,1811.5864721366413,225.9973284725072,0.11715002599881438,221346.74076779082,25930.77643569952
m_3,m,8,341.01775894818195,304.1263287431545,36.89143020502746,0.11453044796381116,-36158.11821392113,4141.205476568826
m_4,m,7,154380.95506368496,87354.34256184784,67026.61250183712,0.572115000303595,-46853490.180985615,26805584.54911907
m_4,m,4,111308.43517668595,60420.72689223474,50887.708284451204,0.5641760455793735,35387557.312949695,19964812.147533398
m_4,m,6,115688.71527579962,69230.81705104322,46457.8982247564,0.5152745930770618,-32528344.8831521,16761029.673136525
m_4,m,3,84234.15197372994,51487.70738691735,32746.44458681259,0.4937052032908694,-22944368.090925694,11327753.912711008
m_4,m,5,9750.930856359037,5955.120915524532,3795.8099408345042,0.4946315560562669,-2659332.502843698,1315389.7739525852
m_4,m,2,3802.5731188312416,3145.151195977792,657.4219228534494,0.18826049740020054,462101.81224965025,86995.51702365324
m_4,m,0,106017.46887891508,102714.82956171295,3302.6393172021344,0.03159829111668723,2311492.8102481803,73039.22273235148
m_4,m,1,2072.0455445721263,1760.889382674774,311.1561618973524,0.161595256549666,218649.72102328908,35332.7577632713
m_4,m,8,349.3080563081913,297.62186528105923,51.686191027132054,0.16026368972076124,-36370.76198181252,5828.912513160861
m_5,m,5,11079.862137517994,3840.3686794688306,7239.493458049163,0.9652832685033539,64634463.264995806,62390565.95839511
m_5,m,7,116832.00249149595,111680.21573137352,5151.786760122428,0.045098826258285304,-45995918.14165402,2074361.9208607678
m_5,m,4,95508.32980219556,91799.7146456987,3708.6151564968604,0.03960508071889,-33111514.275798928,1311384.195617695
m_5,m,6,90157.49936115155,86565.07570477632,3592.4236563752347,0.04066261690284095,-32074027.606974863,1304213.8971135635
m_5,m,3,66428.09215054709,63825.06378096614,2603.0283695809485,0.039974886261028755,-23240527.70158808,929037.4515172715
m_5,m,2,3531.894292732606,3480.972901019008,50.92139171359804,0.014521799850092564,454649.52065267815,6602.329340858718
m_5,m,0,104746.16673818161,104533.0398906488,213.12684753281064,0.002036754504346142,1902837.7376019047,3875.6133331005017
m_5,m,1,1944.631779955601,1920.6803490174334,23.951430938167505,0.012392650231464668,213848.97325313755,2650.155527883977
m_5,m,8,323.7333801575294,319.76792053323504,3.96545962429434,0.012324852804054069,-35405.72477159552,436.3703462307657
m_6,m,6,106786.74192824295,55935.56259060659,50851.17933763636,0.59648121515139,41247204.71780548,24603182.79167476
m_6,m,7,148975.23810026262,89934.18737929985,59041.05072096277,0.5066444265647756,-48107003.44718559,24373145.175249025
m_6,m,4,120646.12525861769,74323.95228319296,46322.17297542472,0.48588167587795145,-37774405.86937172,18353891.629104257
m_6,m,3,84085.71385835459,51575.842910387226,32509.870947967363,0.4902414158836336,-26509293.945348557,12995953.797843114
m_6,m,5,9671.371809361137,5997.069007324987,3674.30280203615,0.4793200586873205,-2996641.2128576906,1436350.2420117916
m_6,m,2,3748.2705971962773,3212.66935516275,535.6012420335273,0.15324678326243815,438175.64835257304,67149.00861396508
m_6,m,1,2043.5609598145159,1796.7712077336828,246.78975208083307,0.12805805848099538,201850.78185790443,25848.61922759417
m_6,m,8,341.71589687663806,303.4544733747186,38.26142350191947,0.11878136285147078,-31356.606248367407,3724.580424578025
m_6,m,0,104844.51996608172,104287.32875773136,557.1912083503557,0.0053264701758053345,450460.09564995597,2399.362264869909
m_7,m,4,133070.01504028394,66825.95754640628,66244.05749387766,0.6869160294644187,-48836496.88755062,33546572.534947712
m_7,m,7,137545.25883221414,70540.80052344686,67004.45830876728,0.6108311209651087,49203038.022939436,30054746.870440964
m_7,m,6,122823.31451002463,64312.22060052557,58511.09390949906,0.6453709208016779,-43172566.52190097,27862319.00961092
m_7,m,3,92798.04097851958,46341.07686212992,46456.96411638966,0.6924480868753533,-34246099.83250774,23713646.31196234
m_7,m,5,10657.506086663694,5397.246313863789,5260.2597727999055,0.6785689802434326,-3878621.161884859,2631912.0065708067
m_7,m,0,107651.28653019652,101492.5734372763,6158.713092920225,0.05887174673403551,-4595622.351077415,270552.3151379024
m_7,m,2,3696.3717522376523,3236.82167873958,459.5500734980724,0.13171992837881694,338961.78658041335,44648.02225152788
m_7,m,1,2009.0871314309256,1818.0796196689748,191.0075117619508,0.09926367419518058,140668.91328126274,13963.313177341373
m_7,m,8,327.2456140778246,306.5871005537163,20.658513524108287,0.0646392396570595,15108.586349629686,976.6075339330911
m_8,m,8,700.7829715382044,208.63679469378303,492.14617684442135,1.3068835292886263,-4922.19845236611,6432.740085287236
m_8,m,0,104683.02407543432,104503.70516657748,179.31890885684697,0.0017139800595901162,1797.9887981533127,3.0817169474011763
m_8,m,4,93679.31728244029,93611.34201990023,67.97526254005788,0.000725955434751534,-689.7077709668632,0.5006971047237606
m_8,m,3,65144.964166338046,65096.283254673224,48.680911664821906,0.0007476300964005843,-493.81818546231636,0.3691933376015532
m_8,m,6,88372.7823763289,88322.87188587472,49.91049045418913,0.0005649766491539018,-507.63104754505963,0.2867996882484928
m_8,m,2,3508.6608254539938,3500.087768986394,8.5730564675996,0.002445460464625966,86.05354914698563,0.2104405522797009
m_8,m,1,1933.8138110761226,1929.3295657149,4.484245361222747,0.002320717255812659,45.00519190922512,0.10444432546489901
m_8,m,7,114221.05000390671,114191.02270739281,30.027296513901092,0.00026290987907233687,295.0236966329418,0.07756464440524052
m_8,m,5,7535.557658661257,7530.333717908736,5.22394075252123,0.0006935478843011331,-53.02535559138812,0.03677562318472249
k_0,k,7,119514.06463788937,273.16684297059373,119240.89779491878,1.46361027305286,1.4013141306369994,2.05097775737445
k_0,k,4,96484.6967142325,361.72636046128576,96122.97035377122,1.4390189945053762,1.1213056620298938,1.6135801463074428
k_0,k,0,106182.48315703559,4368.305013658527,101814.17814337707,1.3444470933967188,1.1795955676120167,1.5859038322596284
k_0,k,6,91471.18277096096,298.9908376915757,91172.1919332694,1.4468225916974986,1.066100321632576,1.5424580303539803
k_0,k,3,66993.00069080185,261.64540586777343,66731.35528493408,1.4365529930979248,0.7778480135925714,1.1174198921016838
k_0,k,8,16676.719233258347,312.113881911047,16364.6053513473,3.2785390791756375,-0.1872713914064629,0.6139765751376852
k_0,k,5,7769.365462034518,28.315373050882425,7741.050088983636,1.4406779504785616,0.0903479933266893,0.1301623618557455
k_0,k,2,5334.763047384381,291.67425869673997,5043.088788687641,1.8013118848866836,0.06538087534534517,0.11777134780386501
k_0,k,1,2897.8885797865396,145.9746533859444,2751.9139264005953,1.7992270527846526,0.0356209980384998,0.0640902633180579
k_1,k,7,114993.10651966657,258.5603976900973,114734.54612197647,1.4060176729209175,0.19054165933265915,0.26790494044939567
k_1,k,0,105049.25496676093,4342.573921200524,100706.6810455604,1.3259074338530568,0.16695714021511018,0.22136971334606173
k_1,k,4,94053.05509218496,343.51262935479804,93709.54246283017,1.3998031076066877,0.15540223869663783,0.2175325366565899
k_1,k,6,88799.64744659267,283.7761782910486,88515.87126830162,1.4017886624325113,0.1468560266864469,0.2058611132189476
k_1,k,3,65389.10307547337,248.49866586780414,65140.60440960557,1.399170714772207,0.10800978241210926,0.15112412445994147
k_1,k,8,16698.88818410209,320.2523133999537,16378.635870702135,3.2754162158713216,-0.027080085782832834,0.08869855210027709
k_1,k,5,7566.953014831253,26.886672528202105,7540.066342303051,1.4002283276959764,0.012505194470402287,0.017510127540804367
k_1,k,2,3750.476145763947,278.60379043276504,3471.872355331182,1.3482976635786008,0.00598321959295684,0.008067160997861414
k_1,k,1,1933.2784474314305,138.46034089238358,1794.818106539047,1.263965477534312,0.002968313213344426,0.003751845428176296
k_2,k,7,349525.1433020188,625.833061540042,348899.3102404788,2.517918334472015,51.200938895920764,128.9197827882202
k_2,k,0,269074.0879447183,5025.216717176737,264048.8712275416,2.289568504543701,40.3895301802811,92.47459621408888
k_2,k,6,182819.81733862424,662.0916392760728,182157.72569934817,2.127604270522036,28.077151289263394,59.73706698713009
k_2,k,4,159855.88869553912,795.2941129721759,159060.59458256693,1.9361386648569978,25.144342303056572,48.68293333534728
k_2,k,3,104640.97273102673,574.4289826938189,104066.54374833292,1.876720786875924,16.57990784149456,31.115857690619972
k_2,k,8,16162.256376292602,183.7875152749464,15978.468861017656,3.363878746983464,-2.3320800782597892,7.844834611521639
k_2,k,5,13412.410781770053,62.34182759650856,13350.068954173545,1.9779264734004525,2.0984590021951193,4.150597613787225
k_2,k,2,3655.4511633001302,319.4498142023675,3336.0013490977626,1.584902465426245,0.393323536964028,0.6233794434444587
k_2,k,1,2184.8105338771725,159.93072089893076,2024.8798129782417,1.5754677131282189,0.2864901695018698,0.4513560121788266
k_3,k,7,114502.43418843171,260.8573897545834,114241.57679867712,1.3994652055243308,0.27865500443239005,0.38996798304835806
k_3,k,0,105407.55722586972,4354.941333795723,101052.615892074,1.3307788725666447,0.2472748703656003,0.3290681731991968
k_3,k,4,93652.77200745665,346.3783187552301,93306.39368870141,1.3932334849071215,0.22725633284260185,0.31662113257351093
k_3,k,6,88421.41316383485,286.1697966904015,88135.24336714445,1.3952248187473035,0.21476149572956688,0.29964056895318475
k_3,k,3,66547.5148928424,247.0529586037282,66300.46193423867,1.426092497622074,0.1636733601420934,0.23341335095923518
k_3,k,8,16694.81797524527,318.9035797532672,16375.914395492004,3.2759504652243527,-0.03987311691896932,0.13062235592064256
k_3,k,5,7534.743018653238,27.11145584131315,7507.6315628119255,1.3936599591934813,0.01828733616877209,0.02548632817872839
k_3,k,2,3516.9994646844443,277.42468502082625,3239.574779663618,1.2540753439502985,0.007904650339767417,0.009913027093650667
k_3,k,1,1939.9069000896468,138.85266315422757,1801.0542369354193,1.2686232391129575,0.004396841871253671,0.005577935776577309
k_4,k,7,115393.68185648251,261.6949302187958,115131.98692626371,1.4094379387023948,0.27587391392061394,0.388827160578032
k_4,k,0,104996.84005313239,4363.412410078065,100633.42764305433,1.324728745440833,0.245601573873983,0.32535546483637556
k_4,k,4,94460.56617260155,342.133319547944,94118.43285305361,1.4065644364855656,0.23051591200930277,0.3242354838763212
k_4,k,6,89403.29591206413,287.0418442906749,89116.25406777345,1.4099262754506139,0.2129491713089792,0.3002426319639638
k_4,k,3,65690.34533786157,247.50923500473885,65442.836102856825,1.4063499184680333,0.1602883589553108,0.22542152054817619
k_4,k,8,16692.636613275656,319.24550488104273,16373.391108394613,3.276072919213662,-0.03986430169783762,0.13059835923564903
k_4,k,5,7627.516797279495,27.19333737646702,7600.323459903028,1.4100779537539108,0.018143298318756124,0.025583464967658405
k_4,k,2,3512.804117935724,277.962620143457,3234.841497792267,1.2519426344098508,0.00788559009658083,0.009872306439389633
k_4,k,1,1936.696322947183,139.1220145764299,1797.5743083707532,1.2658338197198784,0.00438286646139376,0.00554798059414821
k_5,k,7,119152.94569158679,280.09995544748426,118872.84573613931,1.453744069898053,1.094233039000898,1.5907347915340806
k_5,k,4,96706.66774249033,348.0774791705909,96358.59026331974,1.4431213782008678,0.9685086169748731,1.3976754901281954
k_5,k,0,105962.32523477974,4448.714138927754,101513.61109585199,1.3373144586996775,1.0081460894328738,1.3482083418801203
k_5,k,6,92746.07554532286,306.19993078423784,92439.87561453863,1.460611109129006,0.8422909753911283,1.2302595557753881
k_5,k,3,67260.8994978792,251.81975043273067,67009.07974744648,1.443091408423848,0.6735829206982573,0.9720417257206972
k_5,k,8,16660.18833835762,312.00354595011214,16348.184792407508,3.2798500883418,-0.16088257699391004,0.5276707343661322
k_5,k,5,7777.222204883141,27.241818017897636,7749.980386865243,1.4429213712882663,0.0778840072445426,0.11238049853472067
k_5,k,2,3529.760694033001,283.3595744414253,3246.401119591576,1.256380163082945,0.03210694760631995,0.04033853206972383
k_5,k,1,1947.4872809901178,141.82565588584671,1805.661625104271,1.2716741430547533,0.017871309430535463,0.02272648210534252
k_6,k,7,140613.51220569812,439.8380562224269,140173.6741494757,1.693297272765807,5.394863517332785,9.135107680843353
k_6,k,4,96991.0725209957,400.20867798976985,96590.86384300594,1.4504807224390055,5.336462959053908,7.740436648117506
k_6,k,0,106510.24875764851,5199.80466221256,101310.44409543596,1.3318713564606517,5.518000353117282,7.349266615256669
k_6,k,6,91401.97900948228,329.89909079114204,91072.07991869115,1.4497452920793594,5.028180229749816,7.289580615806308
k_6,k,3,67457.37947737509,289.6264225907128,67167.75305478438,1.450373730897075,3.7112126422286527,5.382645326061563
k_6,k,8,16394.14135736566,295.74229141670384,16098.399065948957,3.3094120709198367,-0.8606356694775232,2.8481980732330903
k_6,k,5,7800.32475742887,31.3111081948182,7769.013649234052,1.4503501114175967,0.4291655269109929,0.6224402697719502
k_6,k,2,3550.4060525644895,330.86852287742875,3219.5375296870607,1.2383675466040045,0.17410924053363372,0.2156112330407225
k_6,k,1,1958.652261092858,165.62636402619762,1793.0258970666605,1.2560241428798768,0.09709675138548798,0.12195586393537804
k_7,k,4,129840.80261030211,58750.53437240238,71090.26823789973,0.7569741040509191,65.31952255327813,49.44518706180152
k_7,k,6,118612.15152460425,57696.415595646744,60915.73592895751,0.6903130418346651,55.96328554041278,38.63218587246428
k_7,k,3,90659.45770460316,40615.90195038923,50043.555754213936,0.7659431133718089,45.98268305939565,35.220119423702634
k_7,k,7,128352.08085817163,90138.96694174012,38213.11391643151,0.34122543315591763,34.97230404966951,11.933439597808931
k_7,k,0,122800.70982386095,90903.38556869529,31897.32425516566,0.301923608757221,-29.30731567848604,8.84857051263559
k_7,k,8,2275.9950984205366,38.545222828619245,2237.449875591917,2.9052716026438925,1.8320566838068915,5.322622257898103
k_7,k,5,10377.59638463104,4764.715384907808,5612.880999723233,0.7435963557084867,5.157144607140008,3.8348339357309853
k_7,k,2,4801.226088717289,2581.620383007366,2219.605705709923,0.6182808882145928,-2.032963241975672,1.2569423189563367
k_7,k,1,2579.6847399635844,1465.049202298692,1114.6355376648924,0.564886236836867,-1.0213145737191849,0.5769265461748794
k_8,k,8,373.85307670691503,279.82307190633236,94.03000480058267,0.2902145735502316,0.015203371893079753,0.004412240090475718
k_8,k,0,104653.62508652058,104625.76413187491,27.86095464567188,0.0002662541249039122,-0.004506111920608109,1.1997708861405992e-06
k_8,k,7,114220.8895819757,114207.34883740323,13.54074457247043,0.00011855526797553347,-0.0021876672909731075,2.593594819226261e-07
k_8,k,2,3507.18161834074,3505.986951271616,1.1946670691240797,0.00034068952040590677,-0.00019325678838403467,6.584056254974258e-08
k_8,k,1,1933.0449524164578,1932.4110209755243,0.6339314409335657,0.0003279954595540034,-0.00010254602210288128,3.3634629645069535e-08
k_8,k,6,88336.81733586911,88333.78267815393,3.034657715179492,3.435375922074576e-05,-0.00048795681957043084,1.6763151089643463e-08
k_8,k,4,93629.0226899028,93627.3391899403,1.6834999624988995,1.7980655120717048e-05,-0.00026904208419430104,4.837552928856646e-09
k_8,k,3,65108.84980885561,65107.82266886767,1.0271399879347882,1.5775823715421393e-05,-0.00016385218848046485,2.5849032408538133e-09
k_8,k,5,7531.7090274889,7531.548777945979,0.1602495429206101,2.1276826051693493e-05,-2.566089561874912e-05,5.459824124107887e-10
